2019-03-20 22:23:46,975 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:24:07,040 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-20 22:24:07,042 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:24:07,042 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:24:07,044 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:24:07,045 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:24:27,108 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-20 22:24:27,109 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:24:27,109 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:24:27,110 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:24:27,111 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:24:47,168 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-20 22:24:47,169 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:24:47,170 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:24:47,171 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:24:47,172 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:25:07,236 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-20 22:25:07,237 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:25:07,238 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:25:07,240 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:25:07,240 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:25:27,305 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-20 22:25:27,307 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:25:27,307 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:25:27,309 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:25:27,310 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:25:47,375 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-20 22:25:47,376 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:25:47,377 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:25:47,379 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:25:47,380 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:26:07,445 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-20 22:26:07,447 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:26:07,447 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:26:07,449 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:26:07,450 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:26:27,538 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-20 22:26:27,539 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:26:27,540 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:26:27,542 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:26:27,542 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:26:47,604 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-20 22:26:47,605 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:26:47,606 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:26:47,606 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:26:47,607 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:27:07,663 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-20 22:27:07,664 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:27:07,665 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:27:07,667 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
