2019-03-19 19:38:25,750 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084364, 'timeout': 20} files=None"
2019-03-19 19:38:45,810 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:38:45,811 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-19 19:38:45,812 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:38:45,813 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:38:45,814 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084364, 'timeout': 20} files=None"
2019-03-19 19:39:05,872 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:39:05,885 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-19 19:39:05,886 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:39:05,888 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:39:05,889 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084364, 'timeout': 20} files=None"
2019-03-19 19:39:25,948 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:39:25,950 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-19 19:39:25,951 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:39:25,952 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:39:25,953 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084364, 'timeout': 20} files=None"
2019-03-19 19:39:46,008 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:39:46,009 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-19 19:39:46,009 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:39:46,010 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:39:46,010 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084364, 'timeout': 20} files=None"
2019-03-19 19:40:06,060 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:40:06,062 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
